Drug_ID,Gene_ID,Disease_ID
445,65,5660
448,317,1269
451,319,5565
451,319,4102
451,319,1344
455,323,1963
455,323,4946
455,323,3486
321,324,1814
195,325,53
195,325,3471
195,325,4838
456,56,2443
456,56,5586
456,56,4313
456,56,2612
456,56,5284
456,56,5661
457,185,2137
197,326,5344
459,328,4784
362,329,159
362,329,4837
98,334,378
464,336,2372
468,342,4610
141,89,5105
141,89,5474
471,344,5400
120,57,2085
120,57,2521
120,57,4813
240,145,5356
474,169,5371
173,346,708
173,346,4509
173,346,4527
475,291,1048
20,77,5628
20,77,5484
479,17,765
479,17,4229
479,17,5290
479,17,1708
479,17,5087
479,17,3136
479,17,5355
480,349,3130
481,350,3692
483,352,5530
483,352,2361
485,124,4630
485,124,4678
486,353,5522
376,17,765
376,17,4229
376,17,5290
376,17,1708
376,17,5087
376,17,3136
376,17,5355
135,56,2443
135,56,5586
135,56,4313
135,56,2612
135,56,5284
135,56,5661
399,67,1301
488,17,765
488,17,4229
488,17,5290
488,17,1708
488,17,5087
488,17,3136
488,17,5355
491,278,4032
491,278,3003
491,278,5220
491,278,4589
491,278,4115
492,355,5451
492,355,1338
492,355,1994
492,355,1860
493,356,4298
493,356,5107
493,356,5664
496,17,765
496,17,4229
496,17,5290
496,17,1708
496,17,5087
496,17,3136
496,17,5355
500,359,4451
501,56,2443
501,56,5586
501,56,4313
501,56,2612
501,56,5284
501,56,5661
502,290,2356
505,179,5089
505,179,315
505,179,4500
505,179,4836
505,179,3850
505,179,903
505,179,2888
505,179,290
506,356,4298
506,356,5107
506,356,5664
325,8,5185
325,8,5148
325,8,847
91,45,5634
91,45,3146
508,286,4939
509,74,3705
512,363,2377
512,363,55
513,8,5185
513,8,5148
513,8,847
514,366,1853
514,366,2477
517,261,5443
518,8,5185
518,8,5148
518,8,847
520,125,271
521,21,3070
522,369,931
522,369,3157
523,370,4952
523,370,2232
526,373,5550
528,125,271
529,8,5185
529,8,5148
529,8,847
534,379,912
536,382,3173
173,383,701
541,53,3928
541,53,5211
63,57,2085
63,57,2521
63,57,4813
545,26,2638
545,26,3272
545,26,5259
225,55,4977
546,21,3070
547,57,2085
547,57,2521
547,57,4813
548,10,3502
549,26,2638
549,26,3272
549,26,5259
551,388,4645
552,389,811
553,79,242
553,79,3326
553,79,914
553,79,2169
554,56,2443
554,56,5586
554,56,4313
554,56,2612
554,56,5284
554,56,5661
365,21,3070
557,390,896
557,390,3894
537,67,1301
558,53,3928
558,53,5211
559,65,284
559,65,415
559,65,5660
560,136,220
561,17,765
561,17,4229
561,17,5290
561,17,1708
561,17,5087
561,17,3136
561,17,5355
562,74,3705
563,48,2661
563,48,4640
563,48,4966
564,391,5062
564,391,5010
564,391,5419
564,391,1503
564,391,1491
129,392,4105
402,326,5344
233,393,1820
233,393,475
146,394,4511
565,180,2959
566,17,765
566,17,4229
566,17,5290
566,17,1708
566,17,5087
566,17,3136
566,17,5355
567,21,3070
34,329,159
34,329,4837
569,397,5304
571,17,765
571,17,4229
571,17,5290
571,17,1708
571,17,5087
571,17,3136
571,17,5355
574,402,766
575,57,2085
575,57,2521
575,57,4813
576,17,765
576,17,4229
576,17,5290
576,17,1708
576,17,5087
576,17,3136
576,17,5355
577,403,182
577,403,4157
578,17,765
578,17,4229
578,17,5290
578,17,1708
578,17,5087
578,17,3136
578,17,5355
579,404,1711
580,215,3634
580,215,477
580,215,2998
580,215,1305
581,405,1217
583,329,159
583,329,4837
584,51,3384
584,51,3761
584,51,1205
584,51,3793
581,142,2632
585,230,353
586,407,5493
589,134,3088
173,412,4161
591,73,3735
592,404,1711
593,359,4451
567,8,5185
567,8,5148
567,8,847
594,413,5132
595,17,765
595,17,4229
595,17,5290
595,17,1708
595,17,5087
595,17,3136
595,17,5355
284,288,2782
284,288,667
597,57,2085
597,57,2521
597,57,4813
603,65,284
603,65,415
603,65,5660
604,417,3781
604,417,564
608,17,765
608,17,4229
608,17,5290
608,17,1708
608,17,5087
608,17,3136
608,17,5355
610,112,1141
610,112,3721
610,112,2159
610,112,1212
612,57,2085
612,57,2521
612,57,4813
614,233,3176
615,21,3070
616,56,2443
616,56,5586
616,56,4313
616,56,2612
616,56,5284
616,56,5661
353,8,5185
353,8,5148
353,8,847
